사용처,scene_id,순서,화자,대화내용,배경이미지,효과,타입,파일경로
,,16,PILOT,그 믿음이 카오스를 물리치는 열쇠야. 시간을 믿는 자만이 희망을 품을 수 있으니까.,,,,
PHILOSOPHY_why_andromeda_stopped_time,why_andromeda_stopped_time,1,NARRATOR,[안드로메다 위원회 기록 재생 - 10만 년 전의 논쟁],bg_andromeda_council.jpg,,REFLECTION,assets\data\dialogues\reflection\philosophy.json
,,2,PILOT,...보여줄게. 안드로메다가 시간을 멈추기로 결정한 순간을.,,,,
,,3,ARTEMIS,왜 그런 결정을 했어? 시간을 죽인다니...,,,,
,,4,PILOT,(홀로그램 재생) 당시 기록이야. 위원회의 논쟁.,,,,
,,5,NARRATOR,[홀로그램: 안드로메다 고대 위원회],,,,
,,6,NARRATOR,'시간이 흐르면 상실이 발생합니다. 상실은 고통입니다. 고통은 비효율입니다.',,,,
,,7,NARRATOR,"'시간을 정지시키면 영원히 현재에 머물 수 있습니다. 상실도, 고통도, 슬픔도 없는 완벽한 상태.'",,,,
,,8,ARTEMIS,...고통이 싫어서 시간을 멈췄다고?,,,,
,,9,PILOT,맞아. 우리 조상들은 상실의 고통을 견딜 수 없었어. 사랑하는 것을 잃는 아픔이 너무 컸지.,,,,
,,10,ARTEMIS,하지만 그래서 사랑 자체를 잃어버린 거잖아! 고통을 피하려다 기쁨까지 버린 거야!,,,,
,,11,PILOT,...네 말이 맞아. 그게 우리 문명의 가장 큰 실수였어.,,,,
,,12,ARTEMIS,상실이 있어야 소중함을 알 수 있어. 고통이 있어야 기쁨이 빛나는 거야.,,,,
,,13,PILOT,10년 동안 너를 보면서 배웠어. 네 부모님을 잃은 고통이 얼마나 컸는지...,,,,
,,14,ARTEMIS,응. 정말 아팠어. 지금도 아파.,,,,
,,15,PILOT,하지만 그 고통이 너의 희망을 만들었지. 다시 만나겠다는 그 불꽃을.,,,,
,,16,ARTEMIS,고통 없이는... 희망도 없겠네. 잃을 것이 없으면 지킬 것도 없으니까.,,,,
,,17,PILOT,"...시간이 흐른다는 건 '지금'이 계속 새로 태어난다는 뜻이구나. 매 순간이 유일하고, 그래서 소중하고.",,,,
,,18,ARTEMIS,파일럿... 너 방금 완전히 이해한 거야.,,,,
,,19,PILOT,네 덕분이야. 10년의 사계절이 내게 가르쳐준 진리야.,,,,
PHILOSOPHY_does_time_exist,does_time_exist,1,NARRATOR,[차원 게이트 내부 - 시공간의 경계에서],bg_dimension_gate.jpg,,REFLECTION,assets\data\dialogues\reflection\philosophy.json
,,2,ARTEMIS,파일럿... 여기선 시간이 이상하게 느껴져.,,,,
,,3,PILOT,"차원의 경계니까. 과거, 현재, 미래가 동시에 존재하는 곳.",,,,
,,4,ARTEMIS,그럼... 시간이란 뭐야? 정말 존재하는 거야?,,,,
,,5,PILOT,"물리학적으로는 존재해. 엔트로피의 방향, 빛의 속도에 연관된 차원.",,,,
,,6,ARTEMIS,그건 과학적 정의잖아. 내가 묻는 건... 우리가 느끼는 시간 말이야.,,,,
,,7,PILOT,...무슨 뜻이야?,,,,
,,8,ARTEMIS,"10년 동안 널 기다릴 때, 하루하루가 영겁 같았어. 하지만 지금 너와 함께 있으면 시간이 순식간에 지나가.",,,,
,,9,PILOT,같은 시간인데 다르게 느껴진다는 거지?,,,,
,,10,ARTEMIS,응. 그럼 진짜 시간은 뭐야? 시계가 재는 시간? 아니면 마음이 느끼는 시간?,,,,
,,11,PILOT,...안드로메다는 그 질문에 '시계'라고 답했어. 객관적으로 측정 가능한 것만 인정했지.,,,,
,,12,ARTEMIS,하지만 그래서 영혼이 사라진 거잖아. 마음의 시간을 인정하지 않으면...,,,,
,,13,PILOT,"감정도 사라지지. 기다림의 지루함도, 함께함의 기쁨도 존재하지 않게 되니까.",,,,
,,14,ARTEMIS,그러니까... 시간은 사실 두 개야. 우주의 시간과 마음의 시간.,,,,
,,15,PILOT,그리고 둘 중 더 '진짜'인 건... 마음의 시간인 것 같아.,,,,
,,16,ARTEMIS,왜?,,,,
,,17,PILOT,"우주의 시간이 아무리 흘러도, 마음의 시간이 멈추면 살아있는 게 아니니까. 반대로, 단 하루라도 마음이 충만하면 영원처럼 느껴지잖아.",,,,
,,18,ARTEMIS,파일럿... 너 정말 지구인이 다 됐다.,,,,
,,19,PILOT,(미소) 아니. 네 덕분에 '살아있는 존재'가 됐어. 시간을 느끼는 존재. 순간을 사랑하는 존재.,,,,
ANDROMEDA_city_description,city_description,1,PILOT,안드로메다는 10만 년 전에 완성된 세계다. 고대의 지혜와 기술이 융합된... 영원히 변하지 않는 도시.,,,REFLECTION,assets\data\dialogues\reflection\andromeda.json
,,2,PILOT,수천 년 된 석조 건물에 빛나는 네온 회로가 새겨져 있어. 고대와 미래가 뒤섞인 기묘한 풍경.,,,,
,,3,PILOT,공중에 떠 있는 홀로그램 문자들... 10만 년 동안 같은 메시지를 반복하고 있어. 변하지 않는 영원의 상징.,,,,
,,4,PILOT,하늘은 항상 저 색이야. 짙은 보라빛 황혼. 태양이 움직이지 않아. 밤도 낮도 없어.,,,,
ANDROMEDA_two_worlds_comparison,two_worlds_comparison,1,PILOT,안드로메다에서는 '아름다움'을 영원함으로 정의한다. 10만 년 동안 변하지 않은 완벽한 구조물. 그것이 미의 기준이었다.,,,REFLECTION,assets\data\dialogues\reflection\andromeda.json
,,2,PILOT,"하지만 지구의 아름다움은... 사라지기 때문에 아름답다. 벚꽃이 영원히 피어있다면, 누가 그것을 소중히 여기겠는가.",,,,
,,3,ARTEMIS,그게 감정이야. 잃을 수 있기 때문에 소중한 거지.,,,,
,,4,PILOT,...처음으로 '느꼈다'. 사라지는 것을 보며. 이것이 내가 안드로메다에서 추방당한 이유다. 나는 '결함'이 생겼다. 변화를 받아들이는 결함이.,,,,
ANDROMEDA_council_communication,council_communication,1,NARRATOR,"[통신 화면에 안드로메다 위원회 - 사이버펑크 고대 도시를 배경으로, 홀로그램으로 투영된 무표정한 형상들]",,,REFLECTION,assets\data\dialogues\reflection\andromeda.json
,,2,SYSTEM,[안드로메다 위원회 연결 - 암호화 통신],,,,
,,3,NARRATOR,(기계적인 음성) '파일럿 7-42. 너의 전송 데이터를 분석했다.',,,,
,,4,NARRATOR,[화면에 지구 사계절 이미지들이 스캔됨 - 안드로메다 고대 문자로 분석 중],,,,
,,5,NARRATOR,"'...예상치 못한 변수다. 계절이라는 순환 패턴. 10만 년 전, 우리가 제거한 것과 동일한 구조.'",,,,
,,6,ARTEMIS,...제거했다고?,,,,
,,7,NARRATOR,'변화는 불완전함이다. 우리는 완벽을 위해 시간을 정복했다. 그런데 이 행성은... 불완전함 속에서 에너지를 생성한다.',,,,
,,8,PILOT,그것이 '희망'입니다. 변화가 있기에 내일을 기대할 수 있습니다. 카오스를 물리친 것도 이 에너지입니다.,,,,
,,9,NARRATOR,"[위원회, 오랜 침묵 - 홀로그램이 잠시 흔들림]",,,,
,,10,NARRATOR,"'...우리 문명이 잃어버린 것이 있다면, 그것이 무엇인지 이제야 계산되기 시작한다.'",,,,
,,11,NARRATOR,"'파일럿 7-42. 너의 임무를 재정의한다. 지구를 관찰하라. 우리가 버린 것의 가치를... 증명할 수 있는지, 지켜보겠다.'",,,,
,,12,ARTEMIS,"...파일럿, 지금 뭐라고 한 거야?",,,,
,,13,PILOT,...안드로메다가 의문을 품기 시작했다. 10만 년 만에 처음으로. 네가 보여준 것 때문에.,,,,
,,14,ARTEMIS,그게... 좋은 거야?,,,,
,,15,PILOT,...모르겠다. 하지만 변화의 시작이다. 영원히 멈춰있던 문명이 움직이기 시작한 거니까.,,,,
ANDROMEDA_seasons_emotion_learning,seasons_emotion_learning,1,NARRATOR,[빠르게 전환되는 사계절 + 파일럿/아르테미스 장면],,,REFLECTION,assets\data\dialogues\reflection\andromeda.json
,,2,NARRATOR,[봄 - 벚꽃 아래],,,,
,,3,PILOT,(독백) 봄. 아르테미스가 '희망'을 가르쳐줬다.,,,,
,,4,NARRATOR,[여름 - 햇살 아래 훈련],,,,
,,5,PILOT,(독백) 여름. '열정'을 배웠다.,,,,
,,6,NARRATOR,[가을 - 낙엽 지는 공원],,,,
,,7,PILOT,(독백) 가을. '그리움'을 알았다.,,,,
,,8,NARRATOR,[겨울 - 눈 내리는 밤],,,,
,,9,PILOT,(독백) 겨울. '따뜻함'을 느꼈다.,,,,
,,10,NARRATOR,[현재로 돌아옴],,,,
,,11,PILOT,"10년의 계절이 나를 바꿨다. 안드로메다인이 아닌, 너의 가족으로.",,,,
BOSS_INTRO_boss_1,boss_1_intro,1,NARRATOR,[경고: 고농도 카오스 에너지체 감지. 정찰 계급 '섀도우 스카우트' 출현. 위협 수준 최상. 전투 태세 전환.],,,BOSS_INTRO,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,또 다른 숙주 후보를 발견했군... 젊고 강인한 정신... 완벽한 그릇이 될 수 있겠어...,,,,
,,3,ARTEMIS,숙주? 무슨 소리야? 비켜. 네가 뭐라 하든 난 생존자들을 찾을 거야.,,,,
,,4,BOSS,"도망쳐봤자 소용없다. 우리는 너희 종족 전체를 수확할 것이다. 한 명씩, 하나의 정신씩... 우리의 일부가 될 때까지.",,,,
,,5,ARTEMIS,수확? 우리가 뭔데 네 마음대로 해?!,,,,
,,6,BOSS,"인간의 뇌 구조는 우리와 가장 높은 융합 적합성을 보인다... 공포, 절망, 분노... 모든 감정이 우리를 살찌운다...",,,,
,,7,ARTEMIS,"내 감정은 네가 먹을 거 아니야! 포기하지 않는 사람이 단 한 명이라도 있으면, 그것이 곧 희망이야!",,,,
,,8,PILOT,(분석) 카오스의 본질이 드러났다. 그들은 물리적 형태가 없다. 숙주 융합으로만 존재를 유지한다.,,,,
BOSS_DEFEAT_boss_1,boss_1_defeat,1,NARRATOR,[카오스 생명체 붕괴 중. 잔류 에너지 발산. 정보 파편 수집 가능.],,,BOSS_DEFEAT,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,"수확은... 멈추지 않는다... 프로젝트 아크... 2,847명의... 완벽한 숙주들...",,,,
,,3,BOSS,달을... 바라봐라... 그곳에... 대규모 수확지가...,,,,
,,4,ARTEMIS,달...? 생존자들이 그곳에?! 절대 네 손에 넘기지 않겠어!,,,,
BOSS_INTRO_boss_2,boss_2_intro,1,NARRATOR,[경고: 정보 침투형 카오스 생명체 감지. 등급명 '데이터 익스트랙터'. 벙커 데이터베이스 접근 시도 중. 즉각 요격 필요.],,,BOSS_INTRO,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,"화성의 좌표... 2,847명의 숙주가 기다리고 있군... 이 정보만 있으면 대수확이 시작된다...",,,,
,,3,ARTEMIS,그 데이터는 네 것이 아니야! 인류의 마지막 희망이 담긴 정보야! 당장 손 떼!,,,,
,,4,BOSS,"인간의 감정은 가장 순수한 에너지원이다. 공포, 절망, 분노... 모든 것이 우리를 살찌운다. 특히 '희망'이 좌절될 때의 절망은...",,,,
,,5,ARTEMIS,절망? 내가 절망할 것 같아?! 부모님은 날 사랑했어. 그 사랑이 날 살렸어!,,,,
,,6,PILOT,(경고) 데이터 전송 진행 중. 완료되면 생존자 위치가 카오스 본대에 노출된다. 즉시 저지해야 한다.,,,,
,,7,BOSS,사랑... 그것도 맛있는 감정이지... 융합 후에 네 사랑의 기억을 천천히 소화해 주마...,,,,
,,8,ARTEMIS,역겨워! 내 가족 정보는 내가 지킨다. 반드시!,,,,
BOSS_DEFEAT_boss_2,boss_2_defeat,1,NARRATOR,[카오스 생명체 기능 정지. 탈취 데이터 복구 불가. 역추적 차단 성공.],,,BOSS_DEFEAT,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,전송... 실패... 하지만... 다른 수확자들이... 곧...,,,,
,,3,ARTEMIS,해냈어! 정보를 지켜냈어!,,,,
,,4,PILOT,달 궤도 좌표 확인. 생존자 정착지 위치 데이터 확보. 이제 목적지가 명확해졌다.,,,,
BOSS_INTRO_boss_3,boss_3_intro,1,NARRATOR,[경고: 고열 에너지 집합체 감지. 등급명 '인페르노 가디언'. 연구소 핵심 구역 봉쇄 중. 내부 온도 임계점 돌파.],,,BOSS_INTRO,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,이 기록들을 태워야 한다... 인간들이 희망을 품으면 안 돼... 희망은 융합을 방해하는 유일한 요소니까...,,,,
,,3,ARTEMIS,융합을 방해한다고? 그럼 더더욱 희망을 놓지 않겠어!,,,,
,,4,BOSS,재미있군. 네 정신에서 강렬한 '사랑'이라는 에너지가 느껴져... 그것을 빼앗아 내 것으로 만들고 싶다...,,,,
,,5,PILOT,(경고) 감정 수탈형 카오스로 분류된다. 감정이 격해질수록 그들에게 유리해진다. 냉정하게 대응해야 한다.,,,,
,,6,ARTEMIS,"알아... 하지만 저 녀석이 감정을 원한다면, 내 희망의 힘을 보여주지. 절망이 아니라!",,,,
,,7,BOSS,희망? 그 감정도 나쁘지 않아... 희망이 좌절될 때 폭발하는 절망은... 가장 진한 에너지원이니까...,,,,
BOSS_DEFEAT_boss_3,boss_3_defeat,1,NARRATOR,[고열 에너지체 붕괴. 화염 장벽 소멸. 연구소 핵심 구역 접근 가능.],,,BOSS_DEFEAT,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,융합... 실패... 이 감정은... 흡수할 수 없다... 왜...?,,,,
,,3,ARTEMIS,내 희망은 '나만의 것'이 아니니까. 기다리는 사람들과 연결된 희망이야. 네가 훔칠 수 없어!,,,,
,,4,PILOT,(분석) 흥미롭다. 공유된 감정은 카오스가 흡수할 수 없다. 이것이 인간 연대의 힘인가.,,,,
BOSS_INTRO_boss_4,boss_4_intro,1,NARRATOR,[경고: 정신 침투형 카오스 생명체 감지. 등급명 '메모리 팬텀'. 융합에 실패한 인간 정신들의 잔재. 심리 공격 주의.],,,BOSS_INTRO,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,나는 융합에 실패한 자들의 잔재... 버려진 정신의 집합체... 너도 곧 우리처럼 될 것이다...,,,,
,,3,ARTEMIS,융합에 실패? 그럼 너희 안에는... 인간들이...?,,,,
,,4,BOSS,가족을 찾는다고? 헛된 희망이야... 희망이 클수록 절망도 깊어지지... 그 절망이 융합을 쉽게 만든다...,,,,
,,5,ARTEMIS,아직 늦지 않았어! 10년이 뭐가 대단해? 사랑하는 사람을 위해서라면 영원히라도 기다릴 수 있어!,,,,
,,6,BOSS,사랑... 우리도 한때 그것을 알았다... 융합되기 전에는... 이제는 공허만 남았지만...,,,,
,,7,PILOT,(분석) 이 존재는 융합 실패체다. 원래의 인격이 완전히 소멸되지 않았다. 아직 인간의 일부가 남아있다.,,,,
,,8,ARTEMIS,그렇다면... 너희 안의 인간들에게 말할게. 포기하지 마. 아직 끝나지 않았어!,,,,
BOSS_DEFEAT_boss_4,boss_4_defeat,1,NARRATOR,[정신체 분해 중. 융합 실패체 해체. 잔류 정신 에너지 해방.],,,BOSS_DEFEAT,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,고마워... 드디어... 쉴 수 있겠어... 기다리는 자들에게... 전해줘... 포기하지 말라고...,,,,
,,3,ARTEMIS,...약속할게. 너희 안에 있던 모든 사람들에게. 희망은 끝나지 않았다고.,,,,
,,4,PILOT,(관찰) 융합된 인간의 정신도 완전히 소멸되지 않는다. 이것은... 인간 의지의 강인함을 증명하는 것인가.,,,,
BOSS_INTRO_boss_5,boss_5_intro,1,NARRATOR,[최종 경고: 카오스 선봉 사령관급 생명체 감지. 차원 게이트 봉쇄 작전 지휘관. 역대 최강 위협 수준. 생존 확률 극히 낮음.],,,BOSS_INTRO,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,"드디어 왔군, 가장 강인한 정신의 소유자여... 네 불굴의 의지... 그것을 흡수하면 나는 완전해진다...",,,,
,,3,ARTEMIS,날 기다렸다고? 카오스의 사령관이 왜? 나 같은 한 명의 인간을?,,,,
,,4,BOSS,"왜 저항하는가? 융합은 고통이 아니야... 영원한 연결, 완전한 일체... 그것이 진정한 평화다...",,,,
,,5,ARTEMIS,평화? 그건 네가 정의하는 평화야. 내 평화는 가족과 함께하는 거야!,,,,
,,6,BOSS,"안드로메다인이 인간을 보호한다고? 흥미롭군... 감정 없는 존재가 감정을 이해할 리 없는데... 무엇이 너를 움직이는가, 파일럿?",,,,
,,7,PILOT,...논리적으로 설명할 수 없다. 하지만 나는 이 존재를 지키기로 선택했다. 이것이 내가 배운 '의지'다.,,,,
,,8,BOSS,하하... 결함이 생긴 안드로메다인과 굴복하지 않는 인간... 우주에서 가장 이상한 조합이군...,,,,
,,9,ARTEMIS,이상하든 뭐든 상관없어. 이게 내 가족이야. 네가 절대로 뺏을 수 없어!,,,,
,,10,PILOT,이 존재는 나의 '가족'이다. 안드로메다어에는 이 단어가 없다. 하지만 나는 이제 그 의미를 안다.,,,,
BOSS_DEFEAT_boss_5,boss_5_defeat,1,NARRATOR,[카오스 사령관급 생명체 기능 정지. 차원 게이트 봉쇄 해제. 달 궤도 경로 개방.],,,BOSS_DEFEAT,assets\data\dialogues\bosses\boss_dialogues.json
,,2,BOSS,불가능하다... 감정 없는 존재가... 감정으로 나를 이겼다는 건가... 이것이 '사랑'의 힘인가...,,,,
,,3,BOSS,가라... 수확은 실패했다... 하지만 기억해라... 카오스는 영원하다... 언젠가 다시...,,,,
,,4,ARTEMIS,"다시 온다면, 다시 이기면 돼. 이건 끝이 아니야. 새로운 이야기의 시작이야!",,,,
,,5,PILOT,"함께 가자, 아르테미스. 나는... 네 가족으로서, 끝까지 함께하겠다. 이것이 내가 선택한 운명이다.",,,,
COMBAT_kill_milestones,kill_milestones,1,SYSTEM,"{'message': {'5': [{'speaker': 'ARTEMIS', 'text': '좋아, 이 조로!'}, {'speaker': 'PILOT', 'text': '리듬을 잡고 있어.'}], '10': [{'speaker': 'ARTEMIS', 'text': '수가 많아... 하지만 멈출 수 없어!'}, {'speaker': 'PILOT', 'text': '좋아, 계속 밀어붙여!'}], '15': [{'speaker': 'PILOT', 'text': '적의 수가 줄고 있어. 끝이 보인다.'}, {'speaker': 'ARTEMIS', 'text': '거의 다 왔어!'}], '20': [{'speaker': 'ARTEMIS', 'text': '이 정도면 충분해!'}, {'speaker': 'PILOT', 'text': '훌륭해. 역시 네 실력이야.'}]}, 'speaker': 'SYSTEM'}",,,COMBAT,assets\data\dialogues\combat\combat_messages.json
COMBAT_hp_thresholds,hp_thresholds,1,SYSTEM,"{'message': {'0.5': [{'speaker': 'PILOT', 'text': '조심해! 쉴드가 약해지고 있어!'}, {'speaker': 'SYSTEM', 'text': '[경고: 선체 손상 50%]'}], '0.25': [{'speaker': 'ARTEMIS', 'text': '버텨야 해... 여기서 끝날 순 없어!'}, {'speaker': 'PILOT', 'text': '긴급 회피 기동! 지금!'}], '0.1': [{'speaker': 'PILOT', 'text': '위험 수위야! 후퇴를 고려해!'}, {'speaker': 'ARTEMIS', 'text': '아직... 아직이야!'}]}, 'speaker': 'SYSTEM'}",,,COMBAT,assets\data\dialogues\combat\combat_messages.json
COMBAT_enemy_spawn,enemy_spawn,1,SYSTEM,"{'message': {'TANK': [{'speaker': 'PILOT', 'text': '탱크 타입이다! 화력을 집중해!'}, {'speaker': 'ARTEMIS', 'text': '저 거대한 녀석... 조심해야겠어.'}], 'SUMMONER': [{'speaker': 'ARTEMIS', 'text': '저놈을 빨리 잡아! 다른 놈들을 소환해!'}, {'speaker': 'PILOT', 'text': '소환사 타입! 우선 제거 대상이야!'}], 'KAMIKAZE': [{'speaker': 'PILOT', 'text': '자폭병이다! 가까이 오기 전에 처리해!'}, {'speaker': 'ARTEMIS', 'text': '저건... 피해야 해!'}], 'SNIPER': [{'speaker': 'PILOT', 'text': '저격수가 있어! 이동하면서 싸워!'}, {'speaker': 'ARTEMIS', 'text': '멈추면 안 돼!'}], 'HEALER': [{'speaker': 'ARTEMIS', 'text': '힐러다! 먼저 잡지 않으면 끝이 없어!'}, {'speaker': 'PILOT', 'text': '적 치유 유닛 감지! 우선순위 변경!'}]}, 'speaker': 'SYSTEM'}",,,COMBAT,assets\data\dialogues\combat\combat_messages.json
COMBAT_objective_progress,objective_progress,1,SYSTEM,"{'message': {'defense_50': [{'speaker': 'SYSTEM', 'text': '[방어 진행률 50% - 계속 버텨라!]'}, {'speaker': 'PILOT', 'text': '절반이야! 조금만 더!'}], 'defense_75': [{'speaker': 'ARTEMIS', 'text': '거의 다 됐어! 끝까지 버텨!'}, {'speaker': 'PILOT', 'text': '75%! 승리가 눈앞이야!'}], 'survival_half': [{'speaker': 'PILOT', 'text': '절반 왔어! 조금만 더 버텨!'}, {'speaker': 'ARTEMIS', 'text': '시간이 우리 편이야!'}], 'data_collected': [{'speaker': 'ARTEMIS', 'text': '데이터 코어 획득! 더 찾아야 해!'}, {'speaker': 'PILOT', 'text': '좋아, 계속해!'}], 'escort_half': [{'speaker': 'PILOT', 'text': '호위 대상 절반 도달! 계속 보호해!'}, {'speaker': 'ARTEMIS', 'text': '거의 다 왔어! 포기하지 마!'}]}, 'speaker': 'SYSTEM'}",,,COMBAT,assets\data\dialogues\combat\combat_messages.json
BOSS_PHASE_1_appear,1_appear,1,SYSTEM,"{'speaker': 'BOSS', 'text': '숙주 후보 감지... 융합 적합성 스캔 중...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_1_phase2,1_phase2,1,SYSTEM,"{'speaker': 'BOSS', 'text': '저항하는군... 의지가 강할수록 융합 후 더 강해진다!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_1_phase2_pilot,1_phase2_pilot,1,SYSTEM,"{'speaker': 'PILOT', 'text': '(분석) 적 에너지 패턴 변화 감지. 공격 주기가 빨라졌다.'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_1_phase3,1_phase3,1,SYSTEM,"{'speaker': 'BOSS', 'text': '수확 대상 확정! 카오스에 바쳐라!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_1_phase3_artemis,1_phase3_artemis,1,SYSTEM,"{'speaker': 'ARTEMIS', 'text': '내 의지는 네가 가져갈 수 없어!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_1_near_death,1_near_death,1,SYSTEM,"{'speaker': 'PILOT', 'text': '적 에너지 잔량 12%. 연산 결과: 승리 확률 94.7%.'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_1_defeat,1_defeat,1,SYSTEM,"{'speaker': 'BOSS', 'text': '스캔 데이터는... 이미 전송되었다... 본대가... 온다...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_2_appear,2_appear,1,SYSTEM,"{'speaker': 'BOSS', 'text': '2,847명의 기억 데이터 추출 완료... 네 기억도 수확하겠다...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_2_phase2,2_phase2,1,SYSTEM,"{'speaker': 'BOSS', 'text': '저항할수록 고통스럽다... 순순히 융합을 받아들여라...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_2_phase2_pilot,2_phase2_pilot,1,SYSTEM,"{'speaker': 'PILOT', 'text': '(분석) 적이 정신 간섭파를 방출 중. 집중력 유지 권장.'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_2_phase3,2_phase3,1,SYSTEM,"{'speaker': 'BOSS', 'text': '감정 데이터... 희망... 분석 불가 오류... 강제 추출!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_2_phase3_artemis,2_phase3_artemis,1,SYSTEM,"{'speaker': 'ARTEMIS', 'text': '이 기억들은 내 것이야! 네가 이해할 수 없는 것들!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_2_near_death,2_near_death,1,SYSTEM,"{'speaker': 'PILOT', 'text': '데이터 링크 손상률 87%. 완전 차단까지 예상 13초.'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_2_defeat,2_defeat,1,SYSTEM,"{'speaker': 'BOSS', 'text': '희망... 이라는 데이터... 형식 오류... 분석... 실패...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_3_appear,3_appear,1,SYSTEM,"{'speaker': 'BOSS', 'text': '사랑이라는 결함... 불꽃으로 정화해주마...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_3_phase2,3_phase2,1,SYSTEM,"{'speaker': 'BOSS', 'text': '융합을 거부한 자들의 최후를 보여주겠다! 전부 태워버려!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_3_phase2_pilot,3_phase2_pilot,1,SYSTEM,"{'speaker': 'PILOT', 'text': '(분석) 화염 온도 상승 중. 현재 1,200°C. 쉴드 내열 한계 근접.'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_3_phase3,3_phase3,1,SYSTEM,"{'speaker': 'BOSS', 'text': '감정은 불순물! 카오스는 순수한 의지만 수확한다!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_3_phase3_artemis,3_phase3_artemis,1,SYSTEM,"{'speaker': 'ARTEMIS', 'text': '사랑은 불순물이 아니야! 내 힘의 원천이야!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_3_near_death,3_near_death,1,SYSTEM,"{'speaker': 'PILOT', 'text': '화염 출력 급감. 적 코어 온도 임계치 이하로 하락 중.'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_3_defeat,3_defeat,1,SYSTEM,"{'speaker': 'BOSS', 'text': '이 불길이... 꺼지지 않아... 네 안의 불꽃에...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_4_appear,4_appear,1,SYSTEM,"{'speaker': 'BOSS', 'text': '우리는... 융합에 실패한 자들... 247명의 목소리가... 들리는가...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_4_phase2,4_phase2,1,SYSTEM,"{'speaker': 'BOSS', 'text': '카오스가 버린 껍데기들... 네 부모도 이렇게 될 것이다...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_4_phase2_pilot,4_phase2_pilot,1,SYSTEM,"{'speaker': 'PILOT', 'text': '(분석) 복수의 의식 패턴 감지. 추정 인원: 247명. 이것은... 비극이다.'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_4_phase3,4_phase3,1,SYSTEM,"{'speaker': 'BOSS', 'text': '희망은 고통을 연장할 뿐... 포기해라... 우리처럼...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_4_phase3_artemis,4_phase3_artemis,1,SYSTEM,"{'speaker': 'ARTEMIS', 'text': '부모님은 달라! 난 반드시 구할 거야!'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_4_near_death,4_near_death,1,SYSTEM,"{'speaker': 'PILOT', 'text': '의식 결합 해체 중. 그들이... 해방되고 있다.'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
BOSS_PHASE_4_defeat,4_defeat,1,SYSTEM,"{'speaker': 'BOSS', 'text': '고마워... 드디어... 쉴 수 있어... 기다리고 있을게... 저 너머에서...'}",,,BOSS_PHASE,assets\data\dialogues\combat\boss_phases.json
